ID,Updated on (date),Region,State,Name of Initiative,Partnership Continuity Status (DS),Nature,Ongoing Grant Cycle,Budget as per Sanctioned AER,Registration Status - FCRA / Non-FC,CRY Location,CRY Support Since,Available for booking,CRY Theme: Education (Y/N),CRY Theme: Health (Y/N),CRY Theme: Nutrition (Y/N),CRY Theme: Protection (Y/N),CRY Theme: Participation (Y/N),CRY Theme: Others (Y/N),DS Remarks
125,Nov-17,North,Uttarakhand,Guria,N/A,Fellowship,Jan-17 - Dec-20,0.00,Yes,Lakshadweep,Jan-17 - Dec-20,No,Y,Y,N,Y,N,N,N/A
124,Nov-17,North,Jammu & Kashmir,Jkasw,N/A,Implementing,Nov-17 - Aug-18,0.00,Yes,"Daman and Diu,Puducherry,Karnataka,Abcd",Nov-17 - Aug-18,No,Y,Y,Y,N,N,N,Just Adding Testing data
119,Oct-17,West,Maharasthra,Vanchit Vikas Sanstha,N/A,Implementing,Oct-17 - Oct-17,0.00,N/A,N/A,Oct-17 - Oct-17,No,N,N,N,N,N,N,N/A
118,Oct-17,South,Karnataka,Bharath,N/A,Implementing,Oct-17 - Oct-17,0.00,N/A,N/A,Oct-17 - Oct-17,No,N,N,N,N,N,N,N/A
117,Oct-17,South,Karnataka,Chetan Parmar,N/A,Fellowship,Oct-17 - Oct-17,0.00,N/A,N/A,Oct-17 - Oct-17,No,N,N,N,N,N,N,N/A
115,Oct-17,Union Territory,Dadra and Nagar Haveli,Ramya,N/A,Implementing,Oct-17 - Oct-17,0.00,N/A,N/A,Oct-17 - Oct-17,No,N,N,N,N,N,N,N/A
114,Oct-17,National (HO),All States,Raj Kumar,N/A,Implementing,Oct-17 - Oct-17,"32,12,312.00",Yes,Lakshadweep,Oct-17 - Oct-17,No,N,N,N,Y,N,N,N/A
113,Oct-17,South,Karnataka,Pradeep Tester,N/A,Implementing,Oct-17 - Oct-17,0.00,Yes,Puducherry,Oct-17 - Oct-17,No,N,Y,N,N,N,N,N/A
101,Oct-17,South,New Karnataka,Partner Create,N/A,Implementing,Aug-17 - Aug-17,0.00,Yes,Puducherry,Aug-17 - Aug-17,No,N,Y,N,N,N,N,nothing
100,Sep-17,South,New Karnataka,Create,N/A,Fellowship,Jul-17 - Aug-17,0.00,N/A,N/A,Jul-17 - Aug-17,No,N,N,N,N,N,N,N/A
99,Aug-17,South,New Karnataka,Partner Name Creation,N/A,Implementing,Aug-17 - Sep-17,0.00,N/A,N/A,Aug-17 - Sep-17,No,N,N,N,N,N,N,N/A
98,Aug-17,South,New Karnataka,Karthiktestfive,N/A,Implementing,Aug-17 - Aug-17,"75,000.00",Yes,Lakshadweep,Aug-17 - Aug-17,Yes,N,Y,N,N,N,N,N/A
97,Aug-17,East,Odisha,Partner Name Profile,N/A,Implementing,Aug-17 - Aug-17,0.00,Yes,"Karnataka,Delhi",Aug-17 - Aug-17,No,N,N,Y,Y,N,N,remarks
93,Sep-17,North-East,Meghalaya,Karthik,N/A,Fellowship,May-17 - Sep-20,"3,60,48,201.00",Yes,Delhi,May-17 - Sep-20,Yes,Y,Y,Y,Y,N,N,asdasd
83,Jun-17,East,West Bengal,Abhilash Pradam,N/A,Fellowship,Jun-17 - Jul-17,"6,000.00",Yes,"Delhi,Rajasthan",Jun-17 - Jul-17,Yes,Y,N,N,N,N,N,N/A
