ID,Updated on (date),Region,State,Name of Initiative,Partnership Continuity Status (DS),Nature,Ongoing Grant Cycle,Budget as per Sanctioned AER,Registration Status - FCRA / Non-FC,CRY Location,CRY Support Since,Available for booking,CRY Theme: Education (Y/N),CRY Theme: Health (Y/N),CRY Theme: Nutrition (Y/N),CRY Theme: Protection (Y/N),CRY Theme: Participation (Y/N),CRY Theme: Others (Y/N),DS Remarks
125,Nov-17,North,Uttarakhand,Guria,N/A,Fellowship,Jan-17 - Dec-20,0.00,Yes,Lakshadweep,Jan-17 - Dec-20,No,Y,Y,N,Y,N,N,N/A
124,Nov-17,North,Jammu & Kashmir,Jkasw,N/A,Implementing,Nov-17 - Aug-18,0.00,Yes,"Daman and Diu,Puducherry,Karnataka,Abcd",Nov-17 - Aug-18,No,Y,Y,Y,N,N,N,Just Adding Testing data
123,Oct-17,North,Rajasthan,Mahila Jan Adhikar Samiti,N/A,"Group Fellow, Network / Alliance",Oct-17 - Nov-17,0.00,Yes,Lakshadweep,Oct-17 - Nov-17,No,Y,N,Y,Y,N,N,N/A
94,Jul-17,North,Himachal Pradesh,Kumar,N/A,"Group Fellow, Network / Alliance",Jul-17 - Aug-17,0.00,No,"Karnataka,Jammu & Kashmir,Delhi,Gujarat",Jul-17 - Aug-17,No,Y,Y,Y,N,N,N,Remarks
88,Jul-17,North,Jammu and Kashmir,Avinash,N/A,Resource Org,Jun-17 - Jul-17,0.00,N/A,N/A,Jun-17 - Jul-17,No,N,N,N,N,N,N,N/A
77,Jun-17,North,Uttar Pradesh,Sanjay Chimanlal Sheth,N/A,Implementing,Jun-17 - Jun-17,0.00,N/A,N/A,Jun-17 - Jun-17,No,N,N,N,N,N,N,N/A
76,Jun-17,North,Jammu and Kashmir,Doddaballapura,N/A,Implementing,Jun-17 - Jun-17,0.00,N/A,N/A,Jun-17 - Jun-17,No,N,N,N,N,N,N,N/A
75,Jun-17,North,Uttar Pradesh,Karthiktestone,N/A,Implementing,Jun-17 - Jun-17,0.00,N/A,N/A,Jun-17 - Jun-17,No,N,N,N,N,N,N,N/A
63,Jun-17,North,Jammu and Kashmir,Partner Profile Creation,N/A,Implementing,Jun-17 - Jul-17,0.00,No,"Maharashtra,Mizoram,Kerala,Rajasthan,Nagaland,Rajasthan,Odisha,Bihar,Maharashtra,West Bengal,Gujarat,Goa,Manipur,Karnatakakarnatala,Andhra Pradesh,Karnataka,Jammu & Kashmir,Karnatakarajya,Delhi,Madhya Pradesh,Haryana,Punjab,Uttarakhand,Himachal Pradesh,Jammu and Kashmir,Uttar Pradesh,Gujarat,Jharkand,Madhya Pradesh,Telangana,Chhattisgarh,Tamilnadu,Tripura,New Delhi",Jun-17 - Jul-17,No,Y,N,N,N,N,N,N/A
59,Jun-17,North,Uttarakhand,Pradhamram,N/A,OTG,Jun-17 - Jun-17,0.00,No,"Jammu & Kashmir,Delhi,Telangana,Gujarat",Jun-17 - Jun-17,No,Y,Y,Y,N,N,Y,Remarks
49,Aug-17,North,Himachal Pradesh,Ramanapriya,N/A,Fellowship,Feb-17 - Aug-17,"87,00,000.00",No,Jammu & Kashmir,Feb-17 - Aug-17,No,Y,N,N,N,N,N,fsdafsd
48,Sep-17,North,Jammu & Kashmir,karthikeyan,N/A,Implementing,Aug-17 - Aug-20,"54,50,00,000.00",N/A,N/A,Aug-17 - Aug-20,Yes,Y,Y,N,Y,N,N,N/A
