Beneficiary,Name of Father,Date of Collection,Current Class,Regular or Irregular,Reason for not in school,Secondary reason for not in school,Tertiary reason for not in school
None,father,2018-2-13,Class 5,Irregular,Disability,,
child three of svarna,father,2018-2-5,Class 4,Irregular,Discrimination by teacher,,
child,name,2018-2-8,Class 4,Regular,None,,
child one of Raman,test,2018-2-12,Class 1,Irregular,Thinks Education not useful,,
test childr,test,2018-2-7,Class 3,Irregular,Sexual harassment,,
Anganwadi three of Partner,name,1912-09-20,Class 5,Irregular,Not applicable,name one,name two
Anganwadi two of Partner,name,2018-2-6,Class 5,Irregular,Disability,,
FacilityOnePartner,test,2018-2-4,Class 1,Irregular,Need to help family in work,gaagg,vzvzv
Anganwadi test sixty,palani,,Class 3,Irregular,School at a long distance,,
anganwadi,charan,,Class 1,Irregular,Thinks Education not useful,dono,dono
None,father one,,Class 2,Irregular,Discrimination by others,,
None,lucky,,Class 8,Regular,None,,
None,lucky,,Class 8,Regular,None,,
None,lucky,,Class 8,Regular,None,,
